任务编号,任务名称,工作包,阶段,论文章节,优先级,状态,前置依赖,V2.0修订说明,执行方式,阶段A/B,关键阻塞条件
T049,实现域适配基线,WP5,A-多源融合,第4/5章,P2,BLOCKED,T048,无变化,依赖T048,A,BSM2G数据+高频数据
T050,设计合成/真实批次采样权重,WP5,A-多源融合,第4/5章,P2,BLOCKED,T045-T049,无变化,依赖T045,A,BSM2G数据
T051,验证无GHG历史数据的增益,WP5,A-多源融合,第4/5章,P2,BLOCKED,T047-T050,直接回答RQ1,依赖T047,A,BSM2G数据+高频数据
T052,形成多源融合章节结果包,WP5,A-多源融合,第4/5章,P2,BLOCKED,T045-T051,无变化,依赖T051,A,BSM2G数据
T053,确定基础ASM结构,WP6,B-真实增强,第6章,P1,待开始,T011/T013,阶段A可完成文献调研部分,文献调研,A（文献部分）,无
T054,开展参数敏感性筛选,WP6,B-真实增强,第6章,P2,BLOCKED,T053/T023,阶段A用BSM2G做敏感性,依赖BSM2G数据,A（BSM2G部分）,BSM2G数据
T055,完成小试实验协议,WP6,B-真实增强,第6章,P3,待开始,T054,阶段B任务,制定实验方案,B,需实验室条件
T056,实施小试并形成独立批次,WP6,B-真实增强,第6章,P3,NOT_STARTED,T055,阶段B任务,实验室操作,B,实验室条件+两厂污泥
T057,估计参数后验与可辨识性,WP6,B-真实增强,第6章,P3,NOT_STARTED,T056,阶段B任务,依赖T056数据,B,小试数据
T058,构建参数分层结构,WP6,B-真实增强,第6章,P2,BLOCKED,T057,阶段A可完成框架设计，阶段B填充实验结果,依赖T057或文献先验,A/B,无（文献先验可立即开始）
T059,构建ASM+残差网络,WP6,B-真实增强,第6章,P3,NOT_STARTED,T058/T052,阶段B任务,依赖T058,B,BSM2G+小试数据
T060,验证运行干预响应,WP6,B-真实增强,第6章,P3,NOT_STARTED,T059,阶段B任务,现场干预,B,现场条件
T061,完成现场监测点位设计,WP7,B-真实增强,第7章,P2,待开始,T032/T053,阶段B任务但可提前设计，依赖代表厂选择,方案设计,B,代表厂确认
T062,建立仪器QA/QC,WP7,B-真实增强,第7章,P3,NOT_STARTED,T061,阶段B任务,依赖仪器获取,B,气体监测仪器
T063,完成N2O通量换算,WP7,B-真实增强,第7章,P3,NOT_STARTED,T062,阶段B任务,依赖现场监测,B,GHG真值数据
T064,完成CH4水气质量平衡,WP7,B-真实增强,第7章,P3,NOT_STARTED,T062,阶段B任务,依赖现场监测,B,GHG真值数据
T065,同步水质与运行变量,WP7,B-真实增强,第7章,P3,NOT_STARTED,T063-T064/T033,阶段B任务,依赖T063-T064,B,GHG真值数据
T066,建立高排放事件标签,WP7,B-真实增强,第7章,P3,NOT_STARTED,T065,阶段B任务,依赖T065,B,GHG真值数据
T067,训练概率GHG输出头,WP7,B-真实增强,第7章,P3,NOT_STARTED,T052/T065-T066,阶段A可用BSM2G掩蔽数据代替,仿真掩蔽(A)/真值(B),A（仿真）/B（真实）,仿真可立即规划
T068,完成短期真值样本效率分析,WP7,B-真实增强,第7章,P2,BLOCKED,T067,阶段A可用BSM2G掩蔽代替真值,仿真掩蔽(A)/真值(B),A（仿真）/B（真实）,BSM2G数据
T069,建立厂级静态特征编码,WP8,B-真实增强,第7章,P2,待开始,T029/T032,阶段A可用46厂画像+BSM2G虚拟厂参数,部分可立即设计,A（框架设计）,无
T070,执行A到B零样本迁移,WP8,B-真实增强,第7章,P3,NOT_STARTED,T059/T067/T069,阶段A降级为虚拟厂间迁移,仿真域迁移(A)/真实(B),A（仿真）/B（真实）,BSM2G虚拟厂数据
T071,执行B厂少样本适配,WP8,B-真实增强,第7章,P3,NOT_STARTED,T070,阶段A降级为虚拟厂标签掩蔽,仿真域迁移(A)/真实(B),A（仿真）/B（真实）,BSM2G虚拟厂数据
T072,执行B到A反向验证,WP8,B-真实增强,第7章,P3,NOT_STARTED,T071,阶段A降级为仿真域反向迁移,仿真域迁移(A)/真实(B),A（仿真）/B（真实）,BSM2G虚拟厂数据
T073,建立适用域检测,WP8,B-真实增强,第7章,P2,BLOCKED,T048/T071,重要：阶段A在仿真域实现,依赖BSM2G域外测试,A,BSM2G数据
T074,评估参数冻结策略,WP8,B-真实增强,第7章,P2,BLOCKED,T058/T070-T073,阶段A在虚拟厂间评估,依赖BSM2G,A（仿真）/B（真实）,BSM2G数据
T075,形成跨厂迁移结果包,WP8,B-真实增强,第7章,P3,NOT_STARTED,T069-T074,无变化,依赖T074,A/B,BSM2G数据（阶段A）
T076,建立分项碳核算公式,WP9,A+B,第8章,P1,待开始,T011/T020,可立即完成公式部分,立即执行（公式），依赖数据（代入值）,A,无
T077,重建缺失活动数据,WP9,A+B,第8章,P1,待开始,T030/T076,与FPCM M3-M6联动,立即执行,A,无
T078,构建条件依赖直接排放因子,WP9,A+B,第8章,P2,BLOCKED,T067/T076,阶段A用BSM2G先验，阶段B用真实校准,仿真先验(A)/真实(B),A（仿真）/B（真实）,BSM2G数据
T079,完成Monte Carlo不确定性传播,WP9,A+B,第8章,P2,BLOCKED,T077-T078,阶段A可完成活动数据+仿真先验部分,依赖T077-T078,A,无（使用文献不确定性范围）
T080,形成46厂城市级碳清单,WP9,A+B,第8章,P2,待开始,T077-T079,仅活动数据层，直接排放用文献因子,立即执行（间接排放）,A,无
T081,开展低碳运行情景分析,WP9,A+B,第8章,P2,BLOCKED,T060/T079,阶段A在BSM2G仿真中完成，标注仿真条件,依赖BSM2G,A（仿真）,BSM2G数据
T082,形成多目标Pareto结果,WP9,A+B,第8章,P3,NOT_STARTED,T081,无变化,依赖T081,A（仿真）,BSM2G数据
T083,完成绪论初稿,WP10,A+B,第1章,P1,待开始,T015,无变化,立即开始,A,无
T084,完成理论与OAKI框架章,WP10,A+B,第2章,P1,待开始,T013/T017,无变化，T017仅文献描述部分,立即开始,A,无
T085,完成数据与仿真平台章,WP10,A+B,第3章,P2,PARTIAL,T025/T034,现有46厂/高频数据部分可立即写；BSM2G部分BLOCKED,分两部分写,A,BSM2G（仿真部分）
T086,完成多任务方法章,WP10,A+B,第4章,P3,BLOCKED,T044/T052,依赖实验结果,依赖T044,A,BSM2G数据
T087,完成46厂活动数据章,WP10,A+B,第5章,P2,待开始,T031/T077,可立即开始（已有数据）,立即开始,A,无
T088,完成ASM混合核心章,WP10,B,第6章,P3,NOT_STARTED,T060,阶段B,依赖T060,B,小试数据
T089,完成真值校准与跨厂章,WP10,B,第7章,P3,NOT_STARTED,T068/T075,阶段A仿真部分可先写，阶段B真实部分补充,仿真部分先写,B（完整版）,GHG真值数据
T090,完成全厂碳核算与优化章,WP10,A+B,第8章,P3,NOT_STARTED,T082,阶段A可完成活动数据和仿真情景部分,依赖T082,A（仿真部分）,BSM2G数据
T091,完成结论与展望,WP10,A+B,第9章,P3,NOT_STARTED,T083-T090,无变化,依赖所有章节,A/B,无
T092,完成全文图表与术语一致性审计,WP10,A+B,全篇,P3,NOT_STARTED,T083-T091,新增：OAKI-PL/Transfer/Cal术语统一检查,依赖T091,A/B,无
T093,完成复现包与数据说明,WP10,A+B,全篇,P3,NOT_STARTED,T001-T092,新增：Docker环境+BSM2G运行说明,依赖T092,A/B,无
T094,完成最终论文与答辩材料,WP10,A+B,全篇,P3,NOT_STARTED,T091-T093,无变化,依赖T093,B（完整版）,阶段B实验数据
